,Technology,Test_type,Data Speed(Mbps),Signal_strength
192,3G,Download,0.59,-105
193,3G,Download,0.2,-101
199,3G,Upload,0.4,-105
200,3G,Upload,0.37,-101
276,3G,Download,5.11,-83
285,3G,Download,3.43,-93
287,3G,Download,4.39,-91
295,3G,Upload,4.15,-83
304,3G,Upload,0.29,-97
306,3G,Upload,1.22,-93
382,3G,Upload,1.23,-81
410,3G,Download,0.25,-87
418,3G,Upload,0.36,-87
546,3G,Download,0.58,-85
547,3G,Upload,1.09,-91
554,3G,Download,3.38,-77
688,3G,Download,2.19,-81
689,3G,Download,2.22,-79
694,3G,Download,1.42,-85
695,3G,Download,1.26,-85
704,3G,Download,1.72,-89
705,3G,Download,1.29,-81
706,3G,Download,4.02,-83
707,3G,Download,2.62,-75
708,3G,Download,2.14,-65
712,3G,Download,3.57,-61
720,3G,Download,0.33,-75
721,3G,Download,2.62,-69
727,3G,Download,4.53,-57
730,3G,Download,1.61,-69
731,3G,Download,2.57,-65
732,3G,Download,2.92,-57
735,3G,Download,0.21,-83
739,3G,Download,0.35,-96
740,3G,Download,2.19,-79
741,3G,Download,1.88,-81
742,3G,Download,2.55,-75
745,3G,Download,1.84,-79
747,3G,Download,0.01,-65
748,3G,Download,2.46,-69
752,3G,Download,3.43,-85
759,3G,Download,3.99,-59
760,3G,Download,7.71,-57
762,3G,Download,1.37,-83
763,3G,Download,2.34,-79
774,3G,Download,1.04,-65
775,3G,Download,1.07,-65
814,3G,Download,1.4,-75
815,3G,Download,1.62,-79
826,3G,Download,12.76,-59
828,3G,Download,0.0,-79
829,3G,Download,2.78,-75
838,3G,Download,2.49,-75
839,3G,Download,0.91,-83
840,3G,Download,0.66,-81
869,3G,Download,1.38,-73
870,3G,Download,1.28,-75
871,3G,Download,0.96,-75
872,3G,Download,2.63,-75
873,3G,Download,0.92,-69
874,3G,Download,1.01,-69
880,3G,Download,3.4,-75
884,3G,Download,1.47,-91
890,3G,Download,2.5,-87
891,3G,Download,3.78,-79
894,3G,Download,2.65,-99
895,3G,Download,3.47,-89
936,3G,Download,1.74,-69
937,3G,Upload,0.93,na
942,3G,Upload,0.0,-75
944,3G,Upload,0.88,-81
945,3G,Upload,0.0,-77
950,3G,Upload,0.55,-89
951,3G,Upload,0.58,-85
958,3G,Upload,0.19,-100
961,3G,Upload,1.6,-81
962,3G,Upload,0.65,-87
963,3G,Upload,1.24,-77
964,3G,Upload,0.24,-65
968,3G,Upload,0.47,-61
976,3G,Upload,0.01,-75
977,3G,Upload,1.05,-69
983,3G,Upload,0.59,na
986,3G,Upload,0.83,-69
987,3G,Upload,0.61,-65
988,3G,Upload,0.68,-57
989,3G,Upload,0.12,-57
991,3G,Upload,0.0,-87
995,3G,Upload,0.23,-96
996,3G,Upload,0.67,-79
997,3G,Upload,0.56,-79
